Y_t,K_tplus1,C_t,R_tplus1,k_compute_infty,Kplus_compute_analytic,c_compute
0.7956484,0.2834476,0.51220083,0.8067146,0.19948151091998423,0.2835691,0.3517227
0.6351703,0.22618139,0.4089889,0.9320734,0.19948151091998423,0.2263747,0.35942316
0.5856046,0.20851979,0.37708482,0.981857,0.19948151091998423,0.2087095,0.36019304
0.56871283,0.2025632,0.36614963,1.0002389,0.19948151091998423,0.20268926,0.3602468
0.56281,0.20048016,0.36232984,1.0068779,0.19948151091998423,0.2005855,0.3602394
0.5607195,0.19974224,0.36097723,1.009257,0.19948151091998423,0.19984043,0.36023343
0.5599757,0.1994797,0.36049598,1.0101069,0.19948151091998423,0.19957533,0.36023086
0.55971056,0.19938609,0.36032447,1.0104104,0.19948151091998423,0.19948085,0.36022994
0.559616,0.19935273,0.3602633,1.0105187,0.19948151091998423,0.19944715,0.36022955
0.5595823,0.1993408,0.36024147,1.0105573,0.19948151091998423,0.19943513,0.36022943
0.55957025,0.19933656,0.3602337,1.0105711,0.19948151091998423,0.19943084,0.3602294
0.55956596,0.19933504,0.36023092,1.010576,0.19948151091998423,0.19942932,0.36022937
0.5595644,0.19933449,0.3602299,1.0105778,0.19948151091998423,0.19942877,0.36022937
0.5595639,0.19933431,0.36022955,1.0105784,0.19948151091998423,0.19942857,0.36022937
0.5595637,0.19933423,0.36022946,1.0105786,0.19948151091998423,0.19942851,0.3602294
0.55956364,0.19933422,0.36022943,1.0105786,0.19948151091998423,0.19942848,0.36022937
0.5595636,0.19933419,0.36022937,1.0105788,0.19948151091998423,0.19942847,0.36022937
0.5595636,0.19933419,0.36022937,1.0105788,0.19948151091998423,0.19942847,0.36022937
0.5595636,0.19933419,0.36022937,1.0105788,0.19948151091998423,0.19942847,0.36022937
0.5595636,0.19933419,0.36022937,1.0105788,0.19948151091998423,0.19942847,0.36022937
0.5595636,0.19933419,0.36022937,1.0105788,0.19948151091998423,0.19942847,0.36022937
0.5595636,0.19933419,0.36022937,1.0105788,0.19948151091998423,0.19942847,0.36022937
0.5595636,0.19933419,0.36022937,1.0105788,0.19948151091998423,0.19942847,0.36022937
0.5595636,0.19933419,0.36022937,1.0105788,0.19948151091998423,0.19942847,0.36022937
0.5595636,0.19933419,0.36022937,1.0105788,0.19948151091998423,0.19942847,0.36022937
0.5595636,0.19933419,0.36022937,1.0105788,0.19948151091998423,0.19942847,0.36022937
0.5595636,0.19933419,0.36022937,1.0105788,0.19948151091998423,0.19942847,0.36022937
